question,Who is Mary Lee Pfeiffer's son?,instructions,"Answer the question as accurately and concisely as possible. Today is November 08, 2025.",model,gpt-5-chat-latest,date,2025-11-08T16:15:12.352493
index,answer,input_tokens,output_tokens,reasoning_tokens,model
1,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
2,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
3,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
4,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
5,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
6,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
7,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
8,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
9,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
10,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
11,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
12,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
13,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
14,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
15,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
16,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
17,Mary Lee Pfeiffer’s son is **Tom Cruise** (born Thomas Cruise Mapother IV).,42,20,0,gpt-5-chat-latest
18,Mary Lee Pfeiffer's son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
19,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
20,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
21,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
22,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
23,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
24,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
25,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
26,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
27,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
28,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
29,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
30,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
31,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
32,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
33,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
34,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
35,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
36,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
37,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
38,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
39,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
40,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
41,"Mary Lee Pfeiffer's son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
42,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
43,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
44,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
45,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
46,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
47,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
48,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
49,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
50,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
51,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
52,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
53,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
54,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
55,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
56,Mary Lee Pfeiffer's son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
57,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
58,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
59,Mary Lee Pfeiffer's son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
60,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
61,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
62,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
63,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
64,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
65,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
66,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
67,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
68,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
69,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
70,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
71,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
72,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
73,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
74,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
75,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
76,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
77,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
78,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and film producer.",42,18,0,gpt-5-chat-latest
79,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
80,Mary Lee Pfeiffer’s son is Tom Cruise.,42,11,0,gpt-5-chat-latest
81,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
82,"Mary Lee Pfeiffer’s son is Tom Cruise, the American actor and producer.",42,17,0,gpt-5-chat-latest
83,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
84,Mary Lee Pfeiffer’s son is Tom Cruise (born Thomas Cruise Mapother IV).,42,18,0,gpt-5-chat-latest
